Model Number,Company,Display Size,Display Type,Display Protection Type,Total Storage,Storage Type,Total RAM,RAM Type,Processor,Battery Capacity,Front Camera MP,Front Dual Camera MP,Back Camera MP,Wide Camera MP,Micro Camera MP,Body Type,Body Back,Wireless Charging,NFC Support,Price (USD)
Samsung-8322,Samsung,6.1,OLED,Ion-strengthened glass,64,NVMe,4,LPDDR5,A15 Bionic,5500,8,8.0,12,8,5,Plastic,Plastic,True,False,882
OnePlus-4212,OnePlus,5.4,IPS LCD,Gorilla Glass,64,NVMe,6,LPDDR5,A15 Bionic,5000,8,16.0,108,8,12,Polycarbonate,Plastic,True,False,1083
Samsung-2628,Samsung,6.7,Liquid Retina,Ion-strengthened glass,512,NVMe,8,LPDDR5,A16 Bionic,5000,16,12.0,64,16,12,Metallic,Polycarbonate back,False,False,762
OnePlus-3154,OnePlus,6.7,OLED,Ceramic Shield,256,NVMe,12,LPDDR4X,A16 Bionic,6000,20,16.0,16,16,5,Metallic,Polycarbonate back,True,False,884
Xiaomi-3983,Xiaomi,6.5,IPS LCD,Ceramic Shield,128,NVMe,6,LPDDR4X,A17 Pro,4000,8,8.0,12,8,2,Polycarbonate,Leather back,False,False,578
OnePlus-2912,OnePlus,6.1,Super Retina XDR,Gorilla Glass,512,NVMe,6,LPDDR5,A17 Pro,4000,16,,108,20,12,Polycarbonate,Polycarbonate back,True,True,836
Xiaomi-8151,Xiaomi,7.0,IPS LCD,Gorilla Glass,512,UFS 3.1,12,LPDDR4X,A16 Bionic,6000,12,,12,12,8,Plastic,Leather back,False,False,417
Google-7008,Google,6.5,IPS LCD,Ion-strengthened glass,128,NVMe,6,LPDDR4X,A17 Pro,6000,16,,108,8,5,Metallic,Polycarbonate back,True,True,1346
Apple-1366,Apple,6.1,OLED,Gorilla Glass,128,UFS 3.1,8,LPDDR5,A16 Bionic,5500,20,8.0,108,8,5,Glass,Polycarbonate back,True,False,1452
Google-7574,Google,6.5,Super Retina XDR,Ion-strengthened glass,128,UFS 3.1,12,LPDDR4X,A16 Bionic,4000,12,16.0,12,12,8,Plastic,Polycarbonate back,False,False,1034
Samsung-5145,Samsung,6.7,Super Retina XDR,Gorilla Glass,256,UFS 3.1,6,LPDDR5,A13 Bionic,5000,8,12.0,108,20,12,Plastic,Glass back,False,False,861
Samsung-4456,Samsung,6.7,Liquid Retina,Scratch-resistant glass,64,NVMe,4,LPDDR5,A14 Bionic,4500,16,8.0,64,20,8,Plastic,Glass back,True,False,1757
Google-5567,Google,5.4,Liquid Retina,Ceramic Shield,64,NVMe,8,LPDDR4X,A13 Bionic,5500,12,8.0,64,8,5,Plastic,Leather back,True,True,1034
OnePlus-1578,OnePlus,5.4,Liquid Retina,Gorilla Glass,256,UFS 3.1,6,LPDDR5,A15 Bionic,4000,8,,16,16,2,Polycarbonate,Plastic,True,False,839
Samsung-9700,Samsung,5.4,OLED,Ion-strengthened glass,512,eMMC 5.1,4,LPDDR4X,A13 Bionic,6000,16,16.0,16,8,5,Plastic,Polycarbonate back,False,False,991
Xiaomi-8722,Xiaomi,6.5,IPS LCD,Ion-strengthened glass,512,NVMe,6,LPDDR4X,A14 Bionic,4000,8,8.0,48,20,5,Polycarbonate,Plastic,False,True,390
OnePlus-6510,OnePlus,7.0,Liquid Retina,Ion-strengthened glass,256,NVMe,4,LPDDR4X,A15 Bionic,4500,20,12.0,12,8,12,Metallic,Polycarbonate back,False,False,456
OnePlus-6691,OnePlus,6.5,Liquid Retina,Scratch-resistant glass,256,UFS 3.1,12,LPDDR4X,A13 Bionic,4500,20,12.0,12,8,12,Plastic,Glass back,False,False,439
Apple-5250,Apple,5.4,OLED,Gorilla Glass,512,eMMC 5.1,12,LPDDR5,A16 Bionic,6000,16,,16,20,5,Glass,Leather back,True,False,886
OnePlus-1430,OnePlus,6.7,OLED,Ceramic Shield,64,NVMe,12,LPDDR5,A14 Bionic,4500,12,8.0,16,16,8,Metallic,Plastic,False,True,867
OnePlus-6198,OnePlus,7.0,Super Retina XDR,Scratch-resistant glass,64,UFS 3.1,6,LPDDR4X,A17 Pro,4500,8,12.0,64,8,5,Polycarbonate,Polycarbonate back,True,False,883
Apple-9300,Apple,6.7,IPS LCD,Ion-strengthened glass,256,eMMC 5.1,8,LPDDR5,A16 Bionic,5000,8,8.0,16,20,5,Glass,Plastic,False,False,889
Apple-2342,Apple,5.4,IPS LCD,Scratch-resistant glass,128,NVMe,12,LPDDR5,A17 Pro,6000,12,16.0,108,12,8,Polycarbonate,Polycarbonate back,True,True,1328
OnePlus-7799,OnePlus,7.0,Super Retina XDR,Ion-strengthened glass,128,eMMC 5.1,12,LPDDR4X,A14 Bionic,4000,16,,64,8,5,Metallic,Polycarbonate back,True,False,918
Samsung-5733,Samsung,5.4,OLED,Ion-strengthened glass,128,eMMC 5.1,12,LPDDR5,A13 Bionic,5000,12,12.0,48,8,12,Plastic,Polycarbonate back,False,True,1029
OnePlus-3891,OnePlus,7.0,IPS LCD,Gorilla Glass,256,NVMe,12,LPDDR5,A13 Bionic,4000,8,16.0,64,20,2,Glass,Polycarbonate back,True,True,1041
OnePlus-6992,OnePlus,7.0,IPS LCD,Ion-strengthened glass,1024,UFS 3.1,4,LPDDR4X,A17 Pro,6000,12,8.0,64,8,5,Polycarbonate,Plastic,False,True,794
OnePlus-5877,OnePlus,7.0,Liquid Retina,Ceramic Shield,128,UFS 3.1,12,LPDDR4X,A15 Bionic,5000,12,16.0,108,12,2,Metallic,Leather back,False,True,708
Google-9447,Google,6.5,IPS LCD,Scratch-resistant glass,512,eMMC 5.1,6,LPDDR4X,A13 Bionic,4500,8,16.0,108,20,5,Metallic,Plastic,True,True,669
Samsung-2610,Samsung,6.5,Liquid Retina,Ceramic Shield,128,UFS 3.1,8,LPDDR4X,A16 Bionic,5500,8,8.0,48,16,8,Glass,Polycarbonate back,False,True,860
OnePlus-1498,OnePlus,5.4,OLED,Ceramic Shield,256,eMMC 5.1,6,LPDDR5,A15 Bionic,5000,8,,16,12,5,Plastic,Glass back,True,False,573
Google-5798,Google,6.7,OLED,Ceramic Shield,64,UFS 3.1,12,LPDDR4X,A13 Bionic,5000,16,16.0,64,20,5,Glass,Glass back,True,False,1330
Google-9233,Google,6.5,IPS LCD,Ion-strengthened glass,512,eMMC 5.1,8,LPDDR5,A16 Bionic,4000,12,12.0,12,16,8,Polycarbonate,Leather back,False,False,1010
Samsung-6313,Samsung,7.0,Super Retina XDR,Scratch-resistant glass,1024,UFS 3.1,6,LPDDR5,A17 Pro,4000,16,12.0,12,20,2,Plastic,Glass back,True,True,1370
Apple-5441,Apple,6.5,IPS LCD,Scratch-resistant glass,256,eMMC 5.1,6,LPDDR5,A13 Bionic,6000,16,,48,8,12,Metallic,Polycarbonate back,True,False,1329
Google-7791,Google,6.5,Super Retina XDR,Gorilla Glass,256,NVMe,8,LPDDR5,A13 Bionic,6000,8,,12,8,12,Metallic,Leather back,True,True,1362
Xiaomi-1546,Xiaomi,6.1,Liquid Retina,Scratch-resistant glass,256,NVMe,8,LPDDR5,A17 Pro,5000,12,16.0,64,12,5,Metallic,Polycarbonate back,False,True,839
OnePlus-1666,OnePlus,7.0,OLED,Scratch-resistant glass,256,NVMe,8,LPDDR4X,A15 Bionic,6000,8,12.0,48,8,8,Glass,Glass back,True,False,813
Xiaomi-9142,Xiaomi,5.4,Super Retina XDR,Ion-strengthened glass,1024,eMMC 5.1,4,LPDDR4X,A16 Bionic,4500,12,8.0,16,16,2,Plastic,Polycarbonate back,False,True,824
